order,family,family_common,species,species_common,has_atypical_sex_chromosomes,variant_form,number_variant,total_species,fraction_variant,phylopic_species,phylopic_credit
Afrosoricida,Tenrecidae,Tenrecs,Tenrec ecaudatus,Common tenrec,y,Unknown,1,31,3.23,Echinops telfairi,Public domain
Artiodactyla,Bovidae,Bovids,Bos taurus,Domestic cattle,y,X-A & Y-A fusion,23,143,16.08,Tragelaphus strepsiceros,Charles J. Sharp & T. Michael Keesey; https://creativecommons.org/licenses/by-sa/3.0/
Artiodactyla,Cervidae,True deer,Cervus elaphus,Red deer,y,X-A fusion,7,55,12.73,Mazama americana,Gabriel Palomo-Munoz; https://creativecommons.org/licenses/by-nc/3.0/
Carnivora,Herpestidae,Mongooses,Herpestes ichneumon,Egyptian mongoose,y,Y-A fusion,9,34,26.47,Herpestes ichneumon,Public domain
Chiroptera,Phyllostomidae,Leaf-nosed bats,Phyllostomus hastatus,Greater spear-nosed bat,y,X-A & Y-A fusion,30,204,14.71,Desmodus rotundus,Roberto Díaz Sibaja; https://creativecommons.org/licenses/by/3.0/
Chiroptera,Pteropodidae,Megabats,Pteropus vampyrus,Large flying fox,y,Y Loss,4,190,2.11,Pteropus medius,Public domain
Chiroptera,Rhinolophidae,Horseshoe bats,Rhinolophus hipposideros,Lesser horseshoe bat,y,Y-A fusion,1,87,1.15,Rhinolophus hipposideros,Public domain
Diprotodontia,Macropodidae,"Kangaroos, wallabies, and allies",Macropus giganteus,Eastern grey kangaroo,y,Multiple,2,63,3.17,Wallabia bicolor,Public domain
Eulipotyphla,Soricidae,Shrews,Sorex araneus,Common shrew,y,X-A fusion,10,414,2.42,Sorex araneus,Public domain
Monotremata,Ornithorhynchidae,Platypus,Ornithorhynchus anatinus,Platypus,y,Monotremes,,,,Ornithorhynchus anatinus,Public domain
Monotremata,Tachyglossidae,Echidnas,Tachyglossus aculeatus,Short-beaked echidna,y,Monotremes,,,,Tachyglossus aculeatus,Public domain
Peramelemorphia,Thylacomyidae,Bilbies,Macrotis lagotis,Greater bilby,y,X-A fusion,1,1,100,Macrotis lagotis,Sarah Werning; https://creativecommons.org/licenses/by/3.0/
Pholidota,Manidae,Pangolins,Phataginus tricuspis,Common African pangolin,y,Y-A fusion,1,8,12.5,,
Pilosa,Choloepodidae,Two-toed sloths,Choloepus didactylus,Southern two-toed sloth,y,Y-A fusion,1,2,50,Choloepus didactylus,Kai Caspar; https://creativecommons.org/licenses/by/4.0/
Primates,Aotidae,Night monkeys,Aotus trivirgatus,Three-striped night monkey,y,Y-A fusion,2,11,18.18,Aotus azarae,Public domain
Primates,Atelidae,"Howler, spider, and woolly monkeys",Ateles paniscus,Red-faced spider monkey,y,Y-A fusion,10,28,35.71,Ateles,Public domain
Primates,Callitrichidae,Marmosets and tamarins,Callithrix jacchus,Common marmoset,y,Y-A fusion,1,47,2.13,Leontocebus weddelli,Kai Caspar; https://creativecommons.org/publicdomain/zero/1.0/
Primates,Cercopithecidae,Old world monkeys,Cercopithecus diana,Diana monkey,y,Y-A fusion,1,125,0.8,,
Rodentia,Cricetidae,Cricetids,Cricetus cricetus,European hamster,y,Multiple,23,711,3.23,Sigmodon hispidus,Public domain
Rodentia,Echimyidae,Neotropical spiny rats,Echimys chrysurus,White-faced spiny tree rat,y,X-A fusion,3,90,3.33,Ricardomys longidens,Zimes; https://creativecommons.org/licenses/by-sa/3.0/
Rodentia,Muridae,Murids,Mus musculus,House mouse,y,Multiple,20,768,2.6,Mus musculus,Public domain
Rodentia,Zapodidae,Jumping mice,Zapus hudsonius,Meadow jumping mouse,y,Unknown,2,5,40,Jaculus jaculus,Maija Karala; https://creativecommons.org/licenses/by/3.0/
