order,family,upham_species,mdd_species,mcc_tree_name,sex_chr,citation
CARNIVORA,HERPESTIDAE,Atilax_paludinosus,Atilax_paludinosus,Atilax_paludinosus_HERPESTIDAE_CARNIVORA,1,Fredga 1972
CARNIVORA,HERPESTIDAE,Bdeogale_crassicauda,Bdeogale_crassicauda,Bdeogale_crassicauda_HERPESTIDAE_CARNIVORA,NA,
CARNIVORA,HERPESTIDAE,Bdeogale_jacksoni,Bdeogale_jacksoni,Bdeogale_jacksoni_HERPESTIDAE_CARNIVORA,NA,
CARNIVORA,HERPESTIDAE,Bdeogale_nigripes,Bdeogale_nigripes,Bdeogale_nigripes_HERPESTIDAE_CARNIVORA,0,Fredga 1972
CARNIVORA,HERPESTIDAE,Bdeogale_omnivora,Bdeogale_omnivora,Bdeogale_omnivora_HERPESTIDAE_CARNIVORA,NA,
CARNIVORA,HERPESTIDAE,Crossarchus_alexandri,Crossarchus_alexandri,Crossarchus_alexandri_HERPESTIDAE_CARNIVORA,0,Couturier J and Dutrillaux B 1985
CARNIVORA,HERPESTIDAE,Crossarchus_ansorgei,Crossarchus_ansorgei,Crossarchus_ansorgei_HERPESTIDAE_CARNIVORA,NA,
CARNIVORA,HERPESTIDAE,Crossarchus_obscurus,Crossarchus_obscurus,Crossarchus_obscurus_HERPESTIDAE_CARNIVORA,0,Fredga 1972
CARNIVORA,HERPESTIDAE,Crossarchus_platycephalus,Crossarchus_platycephalus,Crossarchus_platycephalus_HERPESTIDAE_CARNIVORA,NA,
CARNIVORA,HERPESTIDAE,Cynictis_penicillata,Cynictis_penicillata,Cynictis_penicillata_HERPESTIDAE_CARNIVORA,0,Fredga 1972
CARNIVORA,HERPESTIDAE,Dologale_dybowskii,Dologale_dybowskii,Dologale_dybowskii_HERPESTIDAE_CARNIVORA,NA,
CARNIVORA,HERPESTIDAE,Helogale_hirtula,Helogale_hirtula,Helogale_hirtula_HERPESTIDAE_CARNIVORA,0,Couturier J and Dutrillaux B 1985
CARNIVORA,HERPESTIDAE,Helogale_parvula,Helogale_parvula,Helogale_parvula_HERPESTIDAE_CARNIVORA,0,Fredga 1972
CARNIVORA,HERPESTIDAE,Herpestes_brachyurus,Urva_brachyura,Herpestes_brachyurus_HERPESTIDAE_CARNIVORA,1,Murata et al. 2016; Fredga 1972
CARNIVORA,HERPESTIDAE,Herpestes_edwardsii,Urva_edwardsii,Herpestes_edwardsii_HERPESTIDAE_CARNIVORA,1,Fredga 1972
CARNIVORA,HERPESTIDAE,Herpestes_flavescens,Herpestes_flavescens,Herpestes_flavescens_HERPESTIDAE_CARNIVORA,NA,
CARNIVORA,HERPESTIDAE,Herpestes_fuscus,Urva_fusca,Herpestes_fuscus_HERPESTIDAE_CARNIVORA,1,Fredga 1972
