Order,Family,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,run94,run95,run96,run97,run98,run99,run100
Primates,Aotidae (2/11),0.064385625,0.034173673,0.036920162,0.031586531,0.060692578,0.052256352,0.031344217,0.044283596,0.03232661,0.036608119,0.030279762,0.055812163,0.065626325,0.034378182,0.066172609,0.062731434,0.065762913,0.036052784,0.060890655,0.057062026,0.04969267,0.087751221,0.043485172,0.086432711,0.034112527,0.063843511,0.024402696,0.033727561,0.074152288,0.052559792,0.036465496,0.027141331,0.023856617,0.055709741,0.06402743,0.083884977,0.037335537,0.0463931,0.038848528,0.061547949,0.038027116,0.034986846,0.05367869,0.054155044,0.069635723,0.081033167,0.044858636,0.088040165,0.029126941,0.07216397,0.029441576,0.032514875,0.020560932,0.059068649,0.02506473,0.049311312,0.03679763,0.02652931,0.029533305,0.037482563,0.032536624,0.065776603,0.049668709,0.08516366,0.029921737,0.06017919,0.049554228,0.039671188,0.066994115,0.030111534,0.031833457,0.032436375,0.034472992,0.073981683,0.044929001,0.080950354,0.098663436,0.041025349,0.074193793,0.042315178,0.033252242,0.075654186,0.043855479,0.035274212,0.087154667,0.028377062,0.035037262,0.029293876,0.029998726,0.065116657,0.02225639,0.046136925,0.030617194,0.049883361,0.111035367,0.03259469,0.035808421,0.038447571,0.069771525,0.03311257
Primates,Atelidae (10/28),0.10594144,0.162024384,0.081878438,0.088538684,0.12724776,0.105704371,0.129865221,0.124649076,0.093803295,0.11039357,0.104799081,0.121116851,0.106119504,0.086273757,0.124039385,0.159145213,0.102147156,0.109469574,0.13038299,0.125741262,0.13958825,0.084125534,0.134066393,0.147568965,0.106782099,0.126761214,0.042370051,0.116876704,0.143491462,0.137418973,0.135655463,0.088375077,0.08310598,0.118373433,0.12501687,0.109197747,0.112383181,0.127850032,0.0806145,0.14094668,0.121907055,0.162178216,0.104276868,0.117574631,0.106161272,0.156374398,0.093573005,0.106562118,0.1239698,0.132033032,0.11842337,0.116322299,0.100180595,0.103305013,0.100111369,0.103670788,0.138627535,0.094231108,0.095253258,0.118690879,0.112935122,0.087764527,0.129694943,0.149620012,0.112808861,0.08936226,0.093611048,0.108996458,0.104205274,0.13935919,0.023339042,0.111050249,0.126668926,0.041781069,0.108291915,0.134347443,0.113844606,0.080073875,0.111257373,0.135790164,0.122815319,0.109831956,0.12028697,0.12133824,0.099745541,0.13311284,0.168834391,0.138685544,0.107688875,0.134108902,0.130171248,0.11127785,0.119384976,0.095083093,0.127537326,0.138759072,0.116169809,0.123258454,0.129316625,0.127312318
Artiodactyla,Bovidae (22/143),0.025069149,0.021031154,0.025907433,0.02625195,0.021970539,0.027563046,0.025883188,0.021785309,0.023099095,0.021387225,0.02403044,0.023386417,0.026872529,0.026689794,0.028270406,0.02788872,0.019641642,0.025146934,0.026181254,0.023237247,0.02973865,0.020511026,0.023624198,0.025845105,0.029520462,0.022298,0.023566903,0.022537699,0.021967377,0.024826176,0.026209625,0.023598459,0.021131509,0.020612651,0.019730896,0.029247767,0.023243955,0.021284256,0.024369775,0.020774949,0.018112554,0.022541746,0.031051101,0.029873192,0.028971224,0.02187987,0.02273133,0.027285912,0.024480985,0.02235674,0.028253884,0.01886953,0.02317436,0.02644244,0.024406154,0.019785025,0.025117129,0.020980388,0.02514215,0.02210628,0.025657909,0.02354962,0.025696841,0.024218236,0.024257529,0.022519837,0.022974414,0.024642299,0.026085973,0.023975049,0.026255412,0.028836241,0.0218395,0.019267868,0.021552203,0.022784072,0.022887068,0.023748825,0.025680283,0.023199499,0.022423122,0.029874932,0.027157309,0.02494368,0.022315228,0.022083536,0.022588106,0.021459841,0.022099752,0.021775112,0.02306006,0.023153789,0.022712358,0.026041989,0.023483789,0.026663187,0.021683463,0.024961442,0.028996877,0.024114145
Primates,Callitrichidae (1/47),0.009310094,0.00921205,0.007592993,0.007456665,0.009262624,0.008616183,0.010888883,0.009655161,0.008169196,0.007807841,0.007689056,0.008188806,0.008386639,0.008666844,0.009801943,0.010265219,0.008155351,0.009357244,0.010606223,0.008673414,0.008777855,0.007125756,0.009542216,0.007588212,0.008374033,0.00840137,0.007095374,0.008734798,0.007893383,0.009865872,0.008019719,0.007583447,0.006636251,0.011277787,0.007996837,0.008507072,0.008075585,0.007383544,0.007852398,0.009259581,0.009886204,0.00839124,0.007505684,0.009208866,0.007560723,0.007543286,0.006980842,0.009143734,0.008425997,0.007921344,0.008550548,0.007347544,0.008256297,0.007521859,0.007603759,0.009507384,0.008678076,0.006943862,0.009575873,0.007559269,0.008298718,0.007786545,0.009518872,0.00892795,0.009009184,0.006842259,0.008253322,0.007346655,0.008036786,0.007782826,0.007607565,0.007941094,0.007834022,0.008701766,0.007340508,0.008748668,0.007178228,0.007384552,0.008470771,0.009711988,0.007754633,0.010388039,0.010037587,0.007497032,0.010475432,0.007027136,0.007997627,0.008335519,0.008139174,0.010486876,0.00907963,0.00815954,0.008286206,0.007999078,0.009129916,0.008272114,0.008046739,0.008550407,0.00864963,0.007286197
Primates,Cercopithecidae (1/125),0.0032689,0.002923095,0.002750263,0.00266813,0.003087732,0.002852299,0.003467008,0.003212696,0.003148687,0.003153211,0.002566344,0.002903084,0.003287742,0.003116947,0.002997533,0.003468692,0.002714116,0.0030729,0.003324742,0.003106259,0.002763169,0.002724679,0.003272378,0.002753866,0.002701198,0.002870783,0.002497368,0.003214422,0.002905147,0.003062216,0.002872839,0.002795225,0.0027013,0.003647831,0.002666399,0.003233244,0.002859749,0.002790629,0.002602522,0.002945563,0.002912876,0.003020244,0.002887741,0.003145261,0.003070516,0.002639884,0.002765734,0.003203032,0.002960387,0.002872826,0.002870373,0.002543265,0.002905424,0.002907609,0.002646471,0.002820653,0.002835543,0.002729336,0.002741008,0.002586402,0.002930173,0.002952064,0.00314679,0.003125862,0.003040887,0.002493891,0.002865451,0.002910879,0.00269002,0.002981426,0.002860297,0.002978184,0.002783952,0.002831283,0.00262808,0.002824471,0.002646708,0.002493334,0.003122484,0.003068906,0.002951119,0.003409816,0.002984965,0.003017605,0.003602651,0.002498259,0.002974305,0.002901024,0.002952149,0.003092176,0.003055778,0.002844358,0.002886206,0.002512466,0.003218857,0.003043331,0.002805836,0.002985396,0.002878172,0.00274324
Artiodactyla,Cervidae (7/55),0.03457411,0.03602787,0.039247737,0.034475004,0.04448875,0.046693023,0.037894031,0.040901094,0.054482179,0.03988745,0.031579567,0.043963369,0.032944281,0.054482206,0.041885354,0.046010511,0.044010408,0.049323924,0.040778441,0.040791318,0.04607735,0.043075092,0.031876763,0.044267322,0.034680622,0.042355422,0.038920608,0.047341528,0.041632837,0.03894291,0.049168919,0.031763622,0.030187666,0.045041161,0.037530388,0.050095016,0.029689467,0.032476043,0.034279386,0.027475676,0.03271029,0.026219818,0.04732813,0.036443931,0.04511411,0.04741224,0.037015817,0.046878267,0.033662711,0.053409664,0.04206144,0.035861589,0.039649293,0.043867386,0.032501668,0.029039224,0.035053881,0.044771428,0.036323261,0.041235915,0.040163135,0.040430086,0.032742063,0.031235747,0.042261616,0.054644631,0.039734985,0.046304072,0.032235178,0.041313482,0.048962973,0.051330928,0.041024432,0.034314305,0.042748573,0.043763701,0.04400604,0.04387823,0.042834914,0.039720418,0.040331681,0.039439053,0.035939471,0.040552352,0.042459552,0.039132512,0.039894403,0.04400704,0.048163799,0.038643775,0.0428463,0.033072341,0.041805094,0.0305914,0.04181586,0.035613696,0.038928814,0.03497222,0.044927983,0.039946579
Rodentia,Cricetidae (23/711),0.006604887,0.006381955,0.006705826,0.006460625,0.006148054,0.007435926,0.006437431,0.006038586,0.006200965,0.006458849,0.006119174,0.006188127,0.006463555,0.006414074,0.006197871,0.006076154,0.006040716,0.006720649,0.006004096,0.006208111,0.006906407,0.006828717,0.005681975,0.006697687,0.006797965,0.006039275,0.00603551,0.00618708,0.006596106,0.005991355,0.00570421,0.006118632,0.006425917,0.006359188,0.00653158,0.006990553,0.006352551,0.006482794,0.006077845,0.005416491,0.006903587,0.006609992,0.006017655,0.006185389,0.006432931,0.007006004,0.006688584,0.006492364,0.007663052,0.006065052,0.006053961,0.005958301,0.006449367,0.005936347,0.006143623,0.006675771,0.006829713,0.006960522,0.006834994,0.006280217,0.006773483,0.006750203,0.006933938,0.006919682,0.006280539,0.006101684,0.006311269,0.006846535,0.006169223,0.006269497,0.00682313,0.006295475,0.006249254,0.007021968,0.006496617,0.006732233,0.006639819,0.006504182,0.007179416,0.005822331,0.006557512,0.006430896,0.006064217,0.006129035,0.005614857,0.005782975,0.006766528,0.006295907,0.006683313,0.006150214,0.007019667,0.00595955,0.006549879,0.00550295,0.005869568,0.006527637,0.005974026,0.005663204,0.006660532,0.00635906
Rodentia,Echimyidae (3/90),0.005603199,0.00617993,0.005807,0.006490683,0.006341527,0.006367848,0.007117692,0.006829979,0.006437432,0.006861608,0.005450834,0.005793705,0.005683587,0.006261287,0.006636608,0.006371926,0.006262788,0.008019798,0.00672526,0.005831742,0.006371021,0.005541367,0.00617855,0.004429819,0.005676332,0.005537147,0.005355058,0.006788129,0.005911426,0.006951632,0.006539329,0.00646035,0.005238442,0.006310843,0.005923379,0.007081574,0.006913207,0.005887488,0.006123943,0.006246628,0.006365897,0.003842474,0.006748702,0.007024696,0.006749318,0.005988868,0.005677814,0.006848485,0.007002397,0.005967125,0.00613342,0.006628075,0.005467736,0.006153046,0.005616586,0.005854028,0.00645999,0.005581898,0.006691118,0.006500708,0.00389427,0.006262812,0.006956551,0.006804892,0.00706804,0.006016673,0.005934729,0.007470616,0.006495266,0.006012957,0.005707755,0.006625556,0.006340136,0.006364729,0.006207575,0.007079331,0.007090375,0.006274582,0.006256778,0.006719323,0.006555301,0.006841754,0.00618743,0.006644135,0.006889749,0.006900936,0.005843255,0.006589317,0.006503835,0.006499624,0.006873219,0.006406717,0.006411654,0.006030816,0.006518585,0.005909336,0.006272844,0.006109729,0.006998091,0.005858604
Carnivora,Herpestidae (9/34),0.07884779,0.07573911,0.06763605,0.073332508,0.056909045,0.063358441,0.06885115,0.069662136,0.063400745,0.068448218,0.056896893,0.05924992,0.070573002,0.078547385,0.066568789,0.078790798,0.066605568,0.07203254,0.054983381,0.073607792,0.058941306,0.058237058,0.052293924,0.072347388,0.064878427,0.059805746,0.05184687,0.071982541,0.064065625,0.056735149,0.058962208,0.066523693,0.059845473,0.066825409,0.068666474,0.063899759,0.066697759,0.057425556,0.053022348,0.057507811,0.058885858,0.05996554,0.063428878,0.064245629,0.064198518,0.066879242,0.056440706,0.057178424,0.061874225,0.063731482,0.069886938,0.048532745,0.057536546,0.058135472,0.06386566,0.05203095,0.063336425,0.061100952,0.056989454,0.059594955,0.074511724,0.053802449,0.069492297,0.054506996,0.056216154,0.059168968,0.066027669,0.074107006,0.064268238,0.05576115,0.073068295,0.064411539,0.052714021,0.06868784,0.052828643,0.089635244,0.056809072,0.068190702,0.060070044,0.056438556,0.054533928,0.063042087,0.058757107,0.056395325,0.052164886,0.065396314,0.062929308,0.059877323,0.083301181,0.063377612,0.07901124,0.059556944,0.047568099,0.046762342,0.089539702,0.05433672,0.055863767,0.068476746,0.068461137,0.060538792
Diprotodontia,Macropodidae (2/63),0.007187817,0.007460902,0.006982635,0.007086738,0.007210085,0.00755095,0.008337025,0.00796784,0.00768099,0.008921893,0.007500489,0.006771665,0.007873748,0.007998943,0.008350862,0.008516035,0.008633194,0.008622918,0.006703981,0.007419122,0.008002245,0.008623867,0.00694437,0.00865822,0.006994505,0.008500444,0.00748227,0.007502648,0.007078008,0.007121795,0.007401903,0.007337239,0.006535333,0.006829651,0.008341994,0.007976452,0.006670098,0.006980634,0.006674178,0.006998183,0.006379743,0.007397326,0.009022061,0.008236262,0.007748805,0.007710411,0.007202816,0.008328152,0.009262707,0.007236092,0.007099374,0.005435939,0.006730785,0.007399951,0.00741619,0.007956225,0.007234659,0.007524588,0.008410439,0.008784503,0.007574551,0.009511384,0.008093053,0.007243577,0.007045758,0.007375283,0.006681784,0.007636489,0.008232082,0.008346898,0.007619337,0.009186254,0.007280944,0.007280614,0.006876554,0.008447549,0.006909528,0.007486842,0.00818324,0.006999518,0.006872403,0.008029149,0.00800612,0.007916314,0.006882502,0.006508249,0.006721582,0.006956289,0.007390171,0.008439323,0.005700024,0.007028167,0.00736336,0.006575308,0.007537117,0.008240029,0.00802741,0.006465971,0.007924111,0.006517212
